Wave,Start_date,End_date,state,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours,Start_Date,End_Date,N_national,N_state
14,12/16/2020,1/11/2021,NC,30.44,5.79,14.05,13.98,9.39,6.36,1.64,50.85,55.85,71.63,76.41,36.83,7.2,3.13,0.86,12/16/2020 UTC,01/11/2021,25640.0,531.0
14_gap,1/12/2021,2/4/2021,NC,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,NC,34.36,7.34,13.52,15.07,8.53,8.58,1.8,50.61,59.1,74.17,82.28,39.33,9.82,4.21,1.66,02/05/2021 UTC,03/01/2021,21500.0,481.0
17,4/1/2021,5/3/2021,NC,31.9,6.57,15.73,22.05,12.85,8.81,1.25,43.46,48.8,67.86,74.49,41.39,10.08,5.0,1.88,04/01/2021 UTC,05/03/2021,21733.0,493.0
17_gap,5/4/2021,6/8/2021,NC,,,,,,,,,,,,,,,,,,,
18,6/9/2021,7/6/2021,NC,35.89,12.62,22.08,20.37,12.66,10.41,4.81,32.67,38.88,68.77,49.56,51.03,12.89,7.2,2.55,06/09/2021 UTC,07/06/2021,20669.0,466.0
18_gap,7/7/2021,8/25/2021,NC,,,,,,,,,,,,,,,,,,,
19,8/26/2021,9/27/2021,NC,30.8,8.46,18.87,22.88,11.33,10.18,1.41,42.22,49.24,65.95,64.04,44.12,11.14,6.3,2.81,08/26/2021 UTC,09/27/2021,21079.0,474.0
19_gap,9/28/2021,11/2/2021,NC,,,,,,,,,,,,,,,,,,,
20,11/3/2021,12/2/2021,NC,36.27,10.07,20.03,23.43,12.31,11.19,3.42,33.26,36.85,61.68,57.34,52.28,11.07,6.36,5.63,11/03/2021 UTC,12/02/2021,22277.0,551.0
20_gap,12/3/2021,12/21/2021,NC,,,,,,,,,,,,,,,,,,,
21,12/22/2021,1/24/2022,NC,29.16,8.29,21.0,19.26,9.67,10.1,2.48,36.42,43.76,66.41,62.52,50.53,12.44,7.52,1.9,12/22/2021 UTC,01/24/2022,22961.0,570.0
21_gap,1/25/2022,3/1/2022,NC,,,,,,,,,,,,,,,,,,,
22,3/2/2022,4/4/2022,NC,38.54,12.42,24.72,29.17,16.58,17.74,2.33,23.28,29.7,66.29,44.07,52.65,12.28,10.56,6.07,03/02/2022 UTC,04/04/2022,22234.0,498.0
22_gap,4/5/2022,6/7/2022,NC,,,,,,,,,,,,,,,,,,,
23,6/8/2022,7/6/2022,NC,34.91,10.68,22.17,29.43,12.05,10.58,2.77,26.49,31.9,61.81,35.78,51.86,12.73,7.48,4.43,06/08/2022 UTC,07/06/2022,24141.0,611.0
1,4/16/2020,4/30/2020,ND,41.49,0.0,18.88,7.35,3.37,0.32,0.0,47.84,62.34,70.02,27.13,39.43,11.18,2.61,0.43,04/16/2020 UTC,04/30/2020,19489.0,165.0
1_gap,5/1/2020,5/1/2020,ND,,,,,,,,,,,,,,,,,,,
2,5/2/2020,5/15/2020,ND,29.19,2.09,18.48,10.75,4.96,2.54,0.0,44.81,61.42,71.45,36.48,43.7,11.06,4.35,1.73,05/02/2020 UTC,05/15/2020,20305.0,211.0
3,5/16/2020,6/1/2020,ND,39.45,1.4,13.03,11.64,4.49,1.79,0.0,49.24,54.24,72.15,36.78,41.76,7.61,2.52,2.96,05/16/2020 UTC,06/01/2020,18103.0,211.0
3_gap,6/2/2020,6/11/2020,ND,,,,,,,,,,,,,,,,,,,
5,6/12/2020,6/28/2020,ND,47.2,5.13,28.31,31.03,11.51,2.8,1.59,26.43,34.3,60.37,25.74,58.88,16.33,7.16,3.62,06/12/2020 UTC,06/28/2020,22470.0,190.0
5_gap,6/29/2020,7/9/2020,ND,,,,,,,,,,,,,,,,,,,
7,7/10/2020,4/27/2020,ND,47.59,5.23,19.3,25.08,8.41,3.21,0.53,32.51,40.24,63.93,45.34,48.31,13.05,4.28,1.36,07/10/2020 UTC,07/27/2020,19058.0,209.0
7_gap,7/28/2020,8/6/2020,ND,,,,,,,,,,,,,,,,,,,
9,8/7/2020,8/29/2020,ND,54.65,4.39,26.27,22.09,9.87,8.86,0.0,26.58,41.35,63.0,50.88,56.63,14.46,9.09,5.03,08/07/2020 UTC,08/26/2020,21196.0,184.0
9_gap,8/27/2020,9/2/2020,ND,,,,,,,,,,,,,,,,,,,
10,9/4/2020,9/28/2020,ND,48.74,8.43,26.47,24.12,11.8,10.51,1.94,32.56,44.2,67.41,52.04,51.07,13.9,5.88,2.56,09/04/2020 UTC,09/28/2020,20315.0,202.0
10_gap,9/29/2020,10/1/2020,ND,,,,,,,,,,,,,,,,,,,
11_12,10/2/2020,11/3/2020,ND,45.39,6.36,25.52,29.29,0.87,5.43,8.93,39.22,45.37,62.5,60.37,56.73,17.87,5.75,1.32,10/02/2020 UTC,11/04/2020,27342.0,434.0
13,11/4/2020,12/1/2020,ND,41.01,12.35,14.47,17.49,15.67,5.34,1.17,42.18,53.25,67.21,69.53,47.59,14.05,5.02,1.92,11/03/2020 UTC,12/01/2020,24017.0,396.0
13_gap,12/2/2020,12/15/2020,ND,,,,,,,,,,,,,,,,,,,
14,12/16/2020,1/11/2021,ND,41.73,7.52,14.96,19.42,12.25,4.65,0.38,34.61,45.18,60.8,70.56,52.74,14.51,7.59,3.25,12/16/2020 UTC,01/11/2021,25640.0,508.0
14_gap,1/12/2021,2/4/2021,ND,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,ND,39.44,7.97,21.1,24.37,13.44,4.34,0.67,27.29,37.83,60.36,59.31,60.79,13.46,6.89,3.53,02/05/2021 UTC,03/01/2021,21500.0,350.0
17,4/1/2021,5/3/2021,ND,45.94,7.79,20.09,25.66,8.74,10.79,1.63,22.98,35.38,58.63,51.02,59.6,20.55,8.31,3.75,04/01/2021 UTC,05/03/2021,21733.0,310.0
17_gap,5/4/2021,6/8/2021,ND,,,,,,,,,,,,,,,,,,,
18,6/9/2021,7/6/2021,ND,40.56,14.26,30.42,32.06,12.59,11.58,1.95,16.02,23.62,50.26,25.22,58.15,18.4,9.45,4.71,06/09/2021 UTC,07/06/2021,20669.0,273.0
18_gap,7/7/2021,8/25/2021,ND,,,,,,,,,,,,,,,,,,,
19,8/26/2021,9/27/2021,ND,43.6,9.04,27.09,31.85,16.26,11.78,2.04,19.94,27.51,52.41,22.3,67.52,19.33,14.05,7.71,08/26/2021 UTC,09/27/2021,21079.0,314.0
19_gap,9/28/2021,11/2/2021,ND,,,,,,,,,,,,,,,,,,,
20,11/3/2021,12/2/2021,ND,36.54,8.72,22.82,19.33,11.53,8.47,0.42,18.7,27.47,61.71,22.95,63.19,17.26,14.21,6.48,11/03/2021 UTC,12/02/2021,22277.0,275.0
20_gap,12/3/2021,12/21/2021,ND,,,,,,,,,,,,,,,,,,,
21,12/22/2021,1/24/2022,ND,34.86,5.91,14.63,19.46,7.63,6.76,2.23,17.63,24.67,54.37,22.98,55.17,15.65,8.5,4.45,12/22/2021 UTC,01/24/2022,22961.0,342.0
21_gap,1/25/2022,3/1/2022,ND,,,,,,,,,,,,,,,,,,,
22,3/2/2022,4/4/2022,ND,48.79,7.35,23.44,29.5,12.56,9.82,3.96,14.56,20.26,48.16,20.85,65.07,20.7,11.93,7.66,03/02/2022 UTC,04/04/2022,22234.0,330.0
22_gap,4/5/2022,6/7/2022,ND,,,,,,,,,,,,,,,,,,,
23,6/8/2022,7/6/2022,ND,46.03,7.78,28.3,31.59,12.83,11.11,1.51,10.4,14.43,46.74,11.1,66.72,23.93,10.59,4.98,06/08/2022 UTC,07/06/2022,24141.0,348.0
1,4/16/2020,4/30/2020,OH,29.42,0.49,6.79,4.98,4.92,1.21,1.59,70.07,75.09,81.73,44.48,23.59,5.48,1.33,0.55,04/16/2020 UTC,04/30/2020,19489.0,477.0
1_gap,5/1/2020,5/1/2020,OH,,,,,,,,,,,,,,,,,,,
2,5/2/2020,5/15/2020,OH,23.2,0.29,10.06,5.2,5.3,0.82,0.77,58.93,73.59,78.55,53.17,30.07,5.7,1.88,1.03,05/02/2020 UTC,05/15/2020,20305.0,530.0
3,5/16/2020,6/1/2020,OH,30.61,1.05,13.45,9.56,8.86,2.89,1.22,49.35,62.31,74.35,59.44,39.07,11.65,2.69,0.47,05/16/2020 UTC,06/01/2020,18103.0,478.0
3_gap,6/2/2020,6/11/2020,OH,,,,,,,,,,,,,,,,,,,
5,6/12/2020,6/28/2020,OH,34.82,3.83,16.29,15.38,11.95,5.53,2.45,47.08,58.88,76.8,57.7,47.08,11.37,4.25,2.18,06/12/2020 UTC,06/28/2020,22470.0,576.0
5_gap,6/29/2020,7/9/2020,OH,,,,,,,,,,,,,,,,,,,
7,7/10/2020,4/27/2020,OH,32.98,5.2,15.39,12.1,10.02,7.15,3.11,54.95,59.92,77.21,69.94,39.58,8.69,2.82,1.8,07/10/2020 UTC,07/27/2020,19058.0,479.0
7_gap,7/28/2020,8/6/2020,OH,,,,,,,,,,,,,,,,,,,
9,8/7/2020,8/29/2020,OH,37.07,4.56,18.4,16.2,11.02,6.37,1.04,43.1,58.97,73.38,70.54,44.59,11.47,4.27,3.07,08/07/2020 UTC,08/26/2020,21196.0,518.0
9_gap,8/27/2020,9/2/2020,OH,,,,,,,,,,,,,,,,,,,
10,9/4/2020,9/28/2020,OH,38.51,5.76,18.07,15.13,11.39,4.14,2.12,42.33,52.69,71.96,70.44,50.66,12.89,4.13,1.39,09/04/2020 UTC,09/28/2020,20315.0,553.0
10_gap,9/29/2020,10/1/2020,OH,,,,,,,,,,,,,,,,,,,
11_12,10/2/2020,11/3/2020,OH,38.74,7.18,16.07,15.92,13.18,6.27,1.37,45.32,55.89,73.71,74.16,48.22,13.45,5.55,1.95,10/02/2020 UTC,11/04/2020,27342.0,752.0
13,11/4/2020,12/1/2020,OH,37.63,5.66,21.5,14.33,14.33,5.68,3.82,43.73,51.51,70.63,73.16,42.31,10.77,4.48,1.35,11/03/2020 UTC,12/01/2020,24017.0,533.0
13_gap,12/2/2020,12/15/2020,OH,,,,,,,,,,,,,,,,,,,
14,12/16/2020,1/11/2021,OH,32.87,6.17,16.34,12.46,8.99,5.02,2.57,50.93,55.79,68.32,76.78,38.87,9.17,3.75,1.64,12/16/2020 UTC,01/11/2021,25640.0,492.0
14_gap,1/12/2021,2/4/2021,OH,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,OH,35.51,6.97,14.43,19.0,10.68,5.72,2.64,48.95,56.54,71.77,81.84,42.93,9.16,5.53,2.48,02/05/2021 UTC,03/01/2021,21500.0,509.0
17,4/1/2021,5/3/2021,OH,36.7,8.92,20.5,17.51,10.24,6.41,2.81,44.13,48.84,68.36,77.08,46.03,9.48,5.75,1.73,04/01/2021 UTC,05/03/2021,21733.0,525.0
17_gap,5/4/2021,6/8/2021,OH,,,,,,,,,,,,,,,,,,,
18,6/9/2021,7/6/2021,OH,31.52,9.53,18.65,21.55,11.3,7.22,2.14,31.47,36.25,63.43,46.01,51.83,12.62,5.75,4.23,06/09/2021 UTC,07/06/2021,20669.0,511.0
18_gap,7/7/2021,8/25/2021,OH,,,,,,,,,,,,,,,,,,,
19,8/26/2021,9/27/2021,OH,35.2,7.75,15.24,16.05,11.96,6.63,4.33,35.48,39.59,62.49,46.72,48.82,11.02,5.77,2.69,08/26/2021 UTC,09/27/2021,21079.0,508.0
19_gap,9/28/2021,11/2/2021,OH,,,,,,,,,,,,,,,,,,,
20,11/3/2021,12/2/2021,OH,32.83,9.01,22.05,25.37,11.95,9.76,1.6,25.93,33.31,60.73,42.59,54.43,15.77,8.65,5.65,11/03/2021 UTC,12/02/2021,22277.0,617.0
20_gap,12/3/2021,12/21/2021,OH,,,,,,,,,,,,,,,,,,,
21,12/22/2021,1/24/2022,OH,29.24,6.57,20.84,13.45,8.51,9.95,1.17,32.7,41.45,62.97,45.69,53.63,15.23,5.03,4.55,12/22/2021 UTC,01/24/2022,22961.0,522.0
21_gap,1/25/2022,3/1/2022,OH,,,,,,,,,,,,,,,,,,,
22,3/2/2022,4/4/2022,OH,38.51,11.26,19.26,23.14,10.49,9.73,2.59,23.11,29.9,57.41,35.4,51.29,11.13,9.63,5.53,03/02/2022 UTC,04/04/2022,22234.0,509.0
22_gap,4/5/2022,6/7/2022,OH,,,,,,,,,,,,,,,,,,,
23,6/8/2022,7/6/2022,OH,38.56,9.83,25.52,24.23,13.02,7.62,3.41,23.66,28.88,56.6,30.55,54.1,15.97,6.95,3.55,06/08/2022 UTC,07/06/2022,24141.0,549.0
1,4/16/2020,4/30/2020,OK,33.84,0.0,13.4,6.31,6.23,1.0,0.38,60.18,67.71,79.83,42.68,35.45,5.99,1.75,1.5,04/16/2020 UTC,04/30/2020,19489.0,424.0
1_gap,5/1/2020,5/1/2020,OK,,,,,,,,,,,,,,,,,,,
2,5/2/2020,5/15/2020,OK,29.61,1.32,13.9,8.99,10.26,5.7,0.0,55.04,64.96,70.84,47.19,34.43,10.72,3.29,0.51,05/02/2020 UTC,05/15/2020,20305.0,333.0
3,5/16/2020,6/1/2020,OK,32.37,4.42,13.62,8.03,6.71,4.97,0.34,46.65,61.47,74.72,45.74,41.73,11.88,5.67,1.65,05/16/2020 UTC,06/01/2020,18103.0,285.0
3_gap,6/2/2020,6/11/2020,OK,,,,,,,,,,,,,,,,,,,
5,6/12/2020,6/28/2020,OK,37.59,1.52,14.82,15.42,10.55,5.13,1.76,40.95,52.95,68.59,50.62,39.33,9.35,3.66,2.9,06/12/2020 UTC,06/28/2020,22470.0,362.0
5_gap,6/29/2020,7/9/2020,OK,,,,,,,,,,,,,,,,,,,
7,7/10/2020,4/27/2020,OK,37.75,4.9,14.97,16.88,11.02,1.95,0.45,43.74,54.57,73.13,66.08,41.82,11.77,4.44,2.31,07/10/2020 UTC,07/27/2020,19058.0,382.0
7_gap,7/28/2020,8/6/2020,OK,,,,,,,,,,,,,,,,,,,
9,8/7/2020,8/29/2020,OK,40.92,5.4,21.31,16.25,10.71,8.59,0.78,42.14,54.6,74.78,68.51,43.72,9.96,3.87,2.66,08/07/2020 UTC,08/26/2020,21196.0,485.0
9_gap,8/27/2020,9/2/2020,OK,,,,,,,,,,,,,,,,,,,
10,9/4/2020,9/28/2020,OK,39.33,4.2,18.51,19.98,9.27,6.06,0.77,38.4,49.03,77.66,68.52,47.08,12.09,4.48,2.53,09/04/2020 UTC,09/28/2020,20315.0,363.0
10_gap,9/29/2020,10/1/2020,OK,,,,,,,,,,,,,,,,,,,
11_12,10/2/2020,11/3/2020,OK,41.88,6.72,17.63,17.72,13.15,13.26,2.58,43.04,50.78,71.26,69.81,51.09,14.09,3.85,2.54,10/02/2020 UTC,11/04/2020,27342.0,474.0
13,11/4/2020,12/1/2020,OK,36.13,6.66,20.27,16.37,14.65,7.31,0.87,42.01,53.95,74.13,68.84,46.92,8.79,3.87,4.14,11/03/2020 UTC,12/01/2020,24017.0,424.0
13_gap,12/2/2020,12/15/2020,OK,,,,,,,,,,,,,,,,,,,
14,12/16/2020,1/11/2021,OK,31.17,4.05,16.45,16.91,8.29,5.21,1.08,46.95,52.17,69.73,70.5,39.15,7.84,2.81,1.1,12/16/2020 UTC,01/11/2021,25640.0,503.0
14_gap,1/12/2021,2/4/2021,OK,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,OK,28.07,2.95,16.19,15.92,13.0,5.77,1.7,44.79,51.24,70.56,67.18,42.58,8.0,5.48,2.29,02/05/2021 UTC,03/01/2021,21500.0,422.0
17,4/1/2021,5/3/2021,OK,36.88,5.24,22.76,25.28,14.09,7.52,1.06,40.85,47.74,69.84,68.0,49.46,13.32,4.27,3.7,04/01/2021 UTC,05/03/2021,21733.0,377.0
17_gap,5/4/2021,6/8/2021,OK,,,,,,,,,,,,,,,,,,,
18,6/9/2021,7/6/2021,OK,41.12,9.63,25.49,27.7,15.05,9.58,2.53,26.95,38.2,65.06,44.09,53.59,16.67,4.77,4.23,06/09/2021 UTC,07/06/2021,20669.0,414.0
18_gap,7/7/2021,8/25/2021,OK,,,,,,,,,,,,,,,,,,,
19,8/26/2021,9/27/2021,OK,40.69,10.34,24.62,19.48,10.13,7.95,3.84,35.23,42.1,66.19,47.62,50.83,15.66,5.35,4.07,08/26/2021 UTC,09/27/2021,21079.0,389.0
19_gap,9/28/2021,11/2/2021,OK,,,,,,,,,,,,,,,,,,,
20,11/3/2021,12/2/2021,OK,42.59,9.66,25.31,23.5,10.35,10.52,2.15,19.41,27.56,54.86,36.77,57.25,16.91,7.6,3.42,11/03/2021 UTC,12/02/2021,22277.0,348.0
20_gap,12/3/2021,12/21/2021,OK,,,,,,,,,,,,,,,,,,,
21,12/22/2021,1/24/2022,OK,34.92,8.46,21.54,25.09,8.6,10.16,2.33,26.95,35.69,62.88,40.07,58.11,17.96,6.38,4.75,12/22/2021 UTC,01/24/2022,22961.0,411.0
21_gap,1/25/2022,3/1/2022,OK,,,,,,,,,,,,,,,,,,,
22,3/2/2022,4/4/2022,OK,40.19,13.57,26.86,28.61,14.32,9.93,2.38,19.83,27.87,57.67,26.67,56.91,15.33,10.11,8.13,03/02/2022 UTC,04/04/2022,22234.0,394.0
22_gap,4/5/2022,6/7/2022,OK,,,,,,,,,,,,,,,,,,,
23,6/8/2022,7/6/2022,OK,39.52,6.83,24.5,27.38,10.73,13.55,2.21,17.23,23.97,59.45,20.37,59.04,13.42,10.22,4.76,06/08/2022 UTC,07/06/2022,24141.0,426.0
1,4/16/2020,4/30/2020,OR,26.74,0.48,8.15,5.34,3.35,0.98,2.09,64.13,78.72,79.11,48.65,26.26,2.8,1.25,1.75,04/16/2020 UTC,04/30/2020,19489.0,442.0
1_gap,5/1/2020,5/1/2020,OR,,,,,,,,,,,,,,,,,,,
2,5/2/2020,5/15/2020,OR,24.8,0.36,13.08,8.09,2.33,0.51,0.92,58.38,64.51,75.56,45.59,31.37,7.14,1.02,0.78,05/02/2020 UTC,05/15/2020,20305.0,407.0
3,5/16/2020,6/1/2020,OR,28.41,1.85,17.79,9.22,6.1,1.57,1.41,49.51,62.82,70.68,52.3,47.03,8.0,4.39,2.18,05/16/2020 UTC,06/01/2020,18103.0,410.0
3_gap,6/2/2020,6/11/2020,OR,,,,,,,,,,,,,,,,,,,
5,6/12/2020,6/28/2020,OR,33.8,5.9,19.66,21.73,9.94,4.06,2.31,47.0,56.58,65.82,52.39,42.96,10.78,4.52,2.97,06/12/2020 UTC,06/28/2020,22470.0,447.0
5_gap,6/29/2020,7/9/2020,OR,,,,,,,,,,,,,,,,,,,
7,7/10/2020,4/27/2020,OR,26.33,2.51,14.33,12.34,7.64,3.18,4.07,48.58,61.34,70.22,73.25,36.5,9.42,1.89,0.67,07/10/2020 UTC,07/27/2020,19058.0,394.0
7_gap,7/28/2020,8/6/2020,OR,,,,,,,,,,,,,,,,,,,
9,8/7/2020,8/29/2020,OR,37.45,6.01,18.11,16.28,11.13,5.04,4.4,44.86,58.56,70.77,72.95,46.07,12.56,3.46,1.99,08/07/2020 UTC,08/26/2020,21196.0,472.0
9_gap,8/27/2020,9/2/2020,OR,,,,,,,,,,,,,,,,,,,
10,9/4/2020,9/28/2020,OR,38.98,5.46,20.28,17.47,9.17,3.35,6.86,41.05,53.71,69.2,72.95,52.85,10.32,4.02,1.67,09/04/2020 UTC,09/28/2020,20315.0,363.0
10_gap,9/29/2020,10/1/2020,OR,,,,,,,,,,,,,,,,,,,
11_12,10/2/2020,11/3/2020,OR,32.58,7.64,21.98,16.15,12.52,4.79,5.12,45.29,55.89,67.35,77.28,40.92,10.84,2.24,0.92,10/02/2020 UTC,11/04/2020,27342.0,468.0
13,11/4/2020,12/1/2020,OR,36.05,7.2,16.17,14.24,12.12,6.44,4.24,46.33,56.92,68.64,78.29,44.08,8.76,4.99,1.17,11/03/2020 UTC,12/01/2020,24017.0,478.0
13_gap,12/2/2020,12/15/2020,OR,,,,,,,,,,,,,,,,,,,
14,12/16/2020,1/11/2021,OR,29.67,2.13,16.22,8.04,7.46,3.76,4.25,51.72,59.95,65.73,81.02,39.74,8.66,3.95,1.1,12/16/2020 UTC,01/11/2021,25640.0,546.0
14_gap,1/12/2021,2/4/2021,OR,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,OR,29.19,4.68,14.38,13.84,8.0,5.96,2.42,48.61,57.67,63.12,77.0,43.57,10.82,3.91,2.29,02/05/2021 UTC,03/01/2021,21500.0,441.0
17,4/1/2021,5/3/2021,OR,34.59,8.26,21.87,18.56,13.23,5.88,3.54,43.42,52.82,62.04,70.97,48.29,13.39,3.61,3.12,04/01/2021 UTC,05/03/2021,21733.0,343.0
17_gap,5/4/2021,6/8/2021,OR,,,,,,,,,,,,,,,,,,,
18,6/9/2021,7/6/2021,OR,32.38,7.85,22.59,24.23,6.97,8.73,5.04,28.78,37.32,55.15,54.32,53.09,13.99,6.1,5.01,06/09/2021 UTC,07/06/2021,20669.0,438.0
18_gap,7/7/2021,8/25/2021,OR,,,,,,,,,,,,,,,,,,,
19,8/26/2021,9/27/2021,OR,30.15,9.34,21.55,18.66,8.18,5.19,5.34,45.88,45.73,65.89,64.46,45.08,13.77,4.85,1.85,08/26/2021 UTC,09/27/2021,21079.0,424.0
19_gap,9/28/2021,11/2/2021,OR,,,,,,,,,,,,,,,,,,,
20,11/3/2021,12/2/2021,OR,33.5,10.01,26.77,25.15,11.84,7.62,6.2,35.42,35.64,61.33,62.57,56.12,13.17,11.68,5.88,11/03/2021 UTC,12/02/2021,22277.0,369.0
20_gap,12/3/2021,12/21/2021,OR,,,,,,,,,,,,,,,,,,,
21,12/22/2021,1/24/2022,OR,29.14,5.32,17.67,18.81,7.39,2.49,4.86,34.17,40.11,57.62,67.94,49.65,11.48,6.04,2.1,12/22/2021 UTC,01/24/2022,22961.0,419.0
21_gap,1/25/2022,3/1/2022,OR,,,,,,,,,,,,,,,,,,,
22,3/2/2022,4/4/2022,OR,36.06,12.03,24.19,24.12,13.09,7.74,3.98,20.72,28.94,49.99,40.34,54.48,13.49,7.32,4.21,03/02/2022 UTC,04/04/2022,22234.0,430.0
22_gap,4/5/2022,6/7/2022,OR,,,,,,,,,,,,,,,,,,,
23,6/8/2022,7/6/2022,OR,35.56,9.13,27.1,25.9,13.96,7.49,6.03,20.97,30.12,53.87,32.78,55.37,14.74,6.78,3.41,06/08/2022 UTC,07/06/2022,24141.0,472.0
1,4/16/2020,4/30/2020,PA,19.09,0.62,5.71,2.82,4.78,0.15,1.46,71.55,75.56,79.64,62.56,21.97,2.93,2.02,0.58,04/16/2020 UTC,04/30/2020,19489.0,465.0
1_gap,5/1/2020,5/1/2020,PA,,,,,,,,,,,,,,,,,,,
2,5/2/2020,5/15/2020,PA,25.55,1.54,7.35,4.32,4.03,0.58,1.79,67.41,74.45,79.67,76.22,25.28,4.59,1.46,1.21,05/02/2020 UTC,05/15/2020,20305.0,565.0
3,5/16/2020,6/1/2020,PA,31.41,0.54,10.47,5.56,5.66,1.2,2.46,57.34,70.24,74.08,74.98,34.25,8.37,2.92,0.79,05/16/2020 UTC,06/01/2020,18103.0,543.0
3_gap,6/2/2020,6/11/2020,PA,,,,,,,,,,,,,,,,,,,
5,6/12/2020,6/28/2020,PA,31.05,3.94,16.66,10.59,11.17,4.53,2.46,51.56,60.6,73.98,75.57,40.32,10.26,4.18,1.45,06/12/2020 UTC,06/28/2020,22470.0,602.0
5_gap,6/29/2020,7/9/2020,PA,,,,,,,,,,,,,,,,,,,
7,7/10/2020,4/27/2020,PA,26.09,5.66,17.69,11.68,7.62,6.35,1.91,52.53,55.96,70.31,75.98,41.29,11.25,4.29,2.59,07/10/2020 UTC,07/27/2020,19058.0,478.0
7_gap,7/28/2020,8/6/2020,PA,,,,,,,,,,,,,,,,,,,
9,8/7/2020,8/29/2020,PA,34.59,4.18,18.07,14.86,11.73,4.55,1.94,41.43,55.75,71.48,71.73,44.6,11.3,5.83,1.96,08/07/2020 UTC,08/26/2020,21196.0,512.0
9_gap,8/27/2020,9/2/2020,PA,,,,,,,,,,,,,,,,,,,
10,9/4/2020,9/28/2020,PA,38.2,5.08,16.18,14.03,9.9,4.12,3.0,41.21,54.13,73.88,74.5,47.31,12.14,4.61,2.48,09/04/2020 UTC,09/28/2020,20315.0,588.0
10_gap,9/29/2020,10/1/2020,PA,,,,,,,,,,,,,,,,,,,
11_12,10/2/2020,11/3/2020,PA,34.7,4.71,15.91,14.07,12.12,5.72,2.4,44.5,53.66,69.81,72.56,44.65,10.52,4.85,1.39,10/02/2020 UTC,11/04/2020,27342.0,912.0
13,11/4/2020,12/1/2020,PA,35.21,5.58,16.06,14.31,12.85,6.4,3.19,40.52,55.71,70.07,76.17,44.3,11.34,4.29,2.04,11/03/2020 UTC,12/01/2020,24017.0,520.0
13_gap,12/2/2020,12/15/2020,PA,,,,,,,,,,,,,,,,,,,
14,12/16/2020,1/11/2021,PA,30.33,5.15,10.8,7.55,8.64,2.37,3.6,55.81,61.66,71.52,78.92,40.74,8.81,3.27,1.78,12/16/2020 UTC,01/11/2021,25640.0,483.0
14_gap,1/12/2021,2/4/2021,PA,,,,,,,,,,,,,,,,,,,
16,2/5/2021,3/1/2021,PA,31.55,3.91,12.71,15.36,10.37,3.61,4.0,48.44,54.64,71.67,79.59,42.53,10.31,6.01,1.15,02/05/2021 UTC,03/01/2021,21500.0,500.0
17,4/1/2021,5/3/2021,PA,36.04,8.01,17.81,21.44,10.9,7.78,5.02,38.02,52.22,66.2,76.42,50.97,12.2,6.88,3.45,04/01/2021 UTC,05/03/2021,21733.0,569.0
17_gap,5/4/2021,6/8/2021,PA,,,,,,,,,,,,,,,,,,,
18,6/9/2021,7/6/2021,PA,32.42,10.45,23.09,22.53,11.39,10.25,4.0,26.9,35.88,58.42,48.64,55.93,13.35,7.01,5.14,06/09/2021 UTC,07/06/2021,20669.0,456.0
18_gap,7/7/2021,8/25/2021,PA,,,,,,,,,,,,,,,,,,,
19,8/26/2021,9/27/2021,PA,32.39,11.17,20.6,24.81,11.1,7.48,7.2,32.58,42.38,62.43,51.29,48.43,14.16,8.64,2.96,08/26/2021 UTC,09/27/2021,21079.0,476.0
19_gap,9/28/2021,11/2/2021,PA,,,,,,,,,,,,,,,,,,,
20,11/3/2021,12/2/2021,PA,36.14,8.85,21.94,23.17,9.95,9.25,3.83,26.7,35.08,62.61,47.62,55.92,13.14,10.31,4.49,11/03/2021 UTC,12/02/2021,22277.0,617.0
20_gap,12/3/2021,12/21/2021,PA,,,,,,,,,,,,,,,,,,,
21,12/22/2021,1/24/2022,PA,29.24,6.13,16.3,16.51,10.74,6.76,3.67,31.78,40.41,63.75,54.36,50.74,12.83,6.22,4.75,12/22/2021 UTC,01/24/2022,22961.0,563.0
21_gap,1/25/2022,3/1/2022,PA,,,,,,,,,,,,,,,,,,,
22,3/2/2022,4/4/2022,PA,42.51,12.88,26.11,24.41,17.36,11.87,7.98,17.17,22.87,57.22,34.18,55.38,16.62,9.7,5.75,03/02/2022 UTC,04/04/2022,22234.0,503.0
22_gap,4/5/2022,6/7/2022,PA,,,,,,,,,,,,,,,,,,,
23,6/8/2022,7/6/2022,PA,34.63,11.85,26.13,29.21,12.52,10.98,6.11,15.46,23.05,50.18,24.75,55.11,13.01,10.48,6.91,06/08/2022 UTC,07/06/2022,24141.0,569.0
